"A0", ""
"A1", "Light"
"A2", "Small"
"A3", "Large"
"A4", "High Vortex"
"A5", "Heavy"
"A6", "High Perf"
"A7", "Rotary Wing"
"B0", ""
"B1", "Glider"
"B2", "Lighter-than-Air"
"B3", "Para"
"B4", "Ultralight"
"B5", ""
"B6", "UAV"
"B7", "Space"
"C0", ""
"C1", "Emergency Veh."
"C2", "Service Veh."
"C3", "Obstruction"
